# dt           R           V
  8.3083e+00  5.1381e+07  1.3332e+07
  8.3083e+00 -2.1591e+09 -5.6025e+08
  8.4084e+00  2.5852e+09  6.6283e+08
  8.4084e+00  5.2626e+07  1.3493e+07
  8.4084e+00 -2.2115e+09 -5.6700e+08
  8.5085e+00  2.6471e+09  6.7072e+08
  8.5085e+00  5.3887e+07  1.3654e+07
  8.5085e+00 -2.2644e+09 -5.7375e+08
  8.6086e+00  2.7098e+09  6.7861e+08
  8.6086e+00  5.5162e+07  1.3814e+07
  8.6086e+00 -2.3180e+09 -5.8050e+08
  8.7087e+00  2.7732e+09  6.8650e+08
  8.7087e+00  5.6452e+07  1.3975e+07
  8.7087e+00 -2.3722e+09 -5.8725e+08
  8.8088e+00  2.8373e+09  6.9439e+08
  8.8088e+00  5.7758e+07  1.4135e+07
  8.8088e+00 -2.4271e+09 -5.9400e+08
  8.9089e+00  2.9021e+09  7.0228e+08
  8.9089e+00  5.9078e+07  1.4296e+07
  8.9089e+00 -2.4826e+09 -6.0075e+08
  9.0090e+00  2.9677e+09  7.1017e+08
  9.0090e+00  6.0413e+07  1.4457e+07
  9.0090e+00 -2.5387e+09 -6.0750e+08
  9.1091e+00  3.0340e+09  7.1806e+08
  9.1091e+00  6.1763e+07  1.4617e+07
  9.1091e+00 -2.5954e+09 -6.1425e+08
  9.2092e+00  3.1011e+09  7.2595e+08
  9.2092e+00  6.3128e+07  1.4778e+07
  9.2092e+00 -2.6527e+09 -6.2100e+08
  9.3093e+00  3.1689e+09  7.3384e+08
  9.3093e+00  6.4507e+07  1.4939e+07
  9.3093e+00 -2.7107e+09 -6.2775e+08
  9.4094e+00  3.2374e+09  7.4173e+08
  9.4094e+00  6.5902e+07  1.5099e+07
  9.4094e+00 -2.7693e+09 -6.3450e+08
  9.5095e+00  3.3066e+09  7.4962e+08
  9.5095e+00  6.7312e+07  1.5260e+07
  9.5095e+00 -2.8286e+09 -6.4125e+08
  9.6096e+00  3.3766e+09  7.5752e+08
  9.6096e+00  6.8736e+07  1.5420e+07
  9.6096e+00 -2.8884e+09 -6.4800e+08
  9.7097e+00  3.4473e+09  7.6541e+08
  9.7097e+00  7.0176e+07  1.5581e+07
  9.7097e+00 -2.9489e+09 -6.5475e+08
  9.8098e+00  3.5188e+09  7.7330e+08
  9.8098e+00  7.1630e+07  1.5742e+07
  9.8098e+00 -3.0100e+09 -6.6150e+08
  9.9099e+00  3.5909e+09  7.8119e+08
  9.9099e+00  7.3099e+07  1.5902e+07
  9.9099e+00 -3.0718e+09 -6.6825e+08
  1.0010e+01  3.6638e+09  7.8908e+08
  1.0010e+01  7.4584e+07  1.6063e+07
  1.0010e+01 -3.1342e+09 -6.7500e+08
  1.0110e+01  3.7375e+09  7.9697e+08
  1.0110e+01  7.6083e+07  1.6224e+07
  1.0110e+01 -3.1971e+09 -6.8175e+08
  1.0210e+01  3.8119e+09  8.0486e+08
  1.0210e+01  7.7597e+07  1.6384e+07
  1.0210e+01 -3.2608e+09 -6.8850e+08
  1.0310e+01  3.8870e+09  8.1275e+08
  1.0310e+01  7.9126e+07  1.6545e+07
  1.0310e+01 -3.3250e+09 -6.9525e+08
  1.0410e+01  3.9628e+09  8.2064e+08
  1.0410e+01  8.0670e+07  1.6706e+07
  1.0410e+01 -3.3899e+09 -7.0200e+08
  1.0511e+01  4.0394e+09  8.2853e+08
  1.0511e+01  8.2228e+07  1.6866e+07
  1.0511e+01 -3.4554e+09 -7.0875e+08
  1.0611e+01  4.1167e+09  8.3642e+08
  1.0611e+01  8.3802e+07  1.7027e+07
  1.0611e+01 -3.5215e+09 -7.1550e+08
  1.0711e+01  4.1947e+09  8.4431e+08
  1.0711e+01  8.5391e+07  1.7187e+07
  1.0711e+01 -3.5883e+09 -7.2225e+08
  1.0811e+01  4.2735e+09  8.5220e+08
  1.0811e+01  8.6994e+07  1.7348e+07
  1.0811e+01 -3.6557e+09 -7.2900e+08
  1.0911e+01  4.3530e+09  8.6010e+08
  1.0911e+01  8.8613e+07  1.7509e+07
  1.0911e+01 -3.7237e+09 -7.3575e+08
  1.1011e+01  4.4333e+09  8.6799e+08
  1.1011e+01  9.0246e+07  1.7669e+07
  1.1011e+01 -3.7923e+09 -7.4250e+08
  1.1111e+01  4.5142e+09  8.7588e+08
  1.1111e+01  9.1895e+07  1.7830e+07
  1.1111e+01 -3.8616e+09 -7.4925e+08
  1.1211e+01  4.5959e+09  8.8377e+08
  1.1211e+01  9.3558e+07  1.7991e+07
  1.1211e+01 -3.9315e+09 -7.5600e+08
  1.1311e+01  4.6784e+09  8.9166e+08
  1.1311e+01  9.5236e+07  1.8151e+07
  1.1311e+01 -4.0020e+09 -7.6275e+08
  1.1411e+01  4.7615e+09  8.9955e+08
  1.1411e+01  9.6929e+07  1.8312e+07
  1.1411e+01 -4.0731e+09 -7.6950e+08
  1.1512e+01  4.8454e+09  9.0744e+08
  1.1512e+01  9.8637e+07  1.8472e+07
  1.1512e+01 -4.1449e+09 -7.7625e+08
  1.1612e+01  4.9301e+09  9.1533e+08
  1.1612e+01  1.0036e+08  1.8633e+07
  1.1612e+01 -4.2173e+09 -7.8300e+08
  1.1712e+01  5.0154e+09  9.2322e+08
  1.1712e+01  1.0210e+08  1.8794e+07
  1.1712e+01 -4.2903e+09 -7.8975e+08
  1.1812e+01  5.1015e+09  9.3111e+08
  1.1812e+01  1.0385e+08  1.8954e+07
  1.1812e+01 -4.3640e+09 -7.9650e+08
  1.1912e+01  5.1884e+09  9.3900e+08
  1.1912e+01  1.0562e+08  1.9115e+07
  1.1912e+01 -4.4383e+09 -8.0325e+08
  1.2012e+01  5.2759e+09  9.4689e+08
  1.2012e+01  1.0740e+08  1.9276e+07
  1.2012e+01 -4.5132e+09 -8.1000e+08
  1.2112e+01  5.3642e+09  9.5479e+08
  1.2112e+01  1.0920e+08  1.9436e+07
  1.2112e+01 -4.5887e+09 -8.1675e+08
  1.2212e+01  5.4533e+09  9.6268e+08
  1.2212e+01  1.1101e+08  1.9597e+07
  1.2212e+01 -4.6649e+09 -8.2350e+08
  1.2312e+01  5.5430e+09  9.7057e+08
  1.2312e+01  1.1284e+08  1.9757e+07
  1.2312e+01 -4.7417e+09 -8.3025e+08
  1.2412e+01  5.6335e+09  9.7846e+08
  1.2412e+01  1.1468e+08  1.9918e+07
  1.2412e+01 -4.8191e+09 -8.3700e+08
  1.2513e+01  5.7248e+09  9.8635e+08
  1.2513e+01  1.1654e+08  2.0079e+07
  1.2513e+01 -4.8971e+09 -8.4375e+08
  1.2613e+01  5.8167e+09  9.9424e+08
  1.2613e+01  1.1841e+08  2.0239e+07
  1.2613e+01 -4.9758e+09 -8.5050e+08
  1.2713e+01  5.9094e+09  1.0021e+09
  1.2713e+01  1.2030e+08  2.0400e+07
  1.2713e+01 -5.0551e+09 -8.5725e+08
  1.2813e+01  6.0028e+09  1.0100e+09
  1.2813e+01  1.2220e+08  2.0561e+07
  1.2813e+01 -5.1350e+09 -8.6400e+08
  1.2913e+01  6.0970e+09  1.0179e+09
  1.2913e+01  1.2411e+08  2.0721e+07
  1.2913e+01 -5.2155e+09 -8.7075e+08
  1.3013e+01  6.1919e+09  1.0258e+09
  1.3013e+01  1.2605e+08  2.0882e+07
  1.3013e+01 -5.2967e+09 -8.7750e+08
  1.3113e+01  6.2875e+09  1.0337e+09
  1.3113e+01  1.2799e+08  2.1043e+07
  1.3113e+01 -5.3785e+09 -8.8425e+08
  1.3213e+01  6.3839e+09  1.0416e+09
  1.3213e+01  1.2995e+08  2.1203e+07
  1.3213e+01 -5.4609e+09 -8.9100e+08
  1.3313e+01  6.4810e+09  1.0495e+09
  1.3313e+01  1.3193e+08  2.1364e+07
  1.3313e+01 -5.5440e+09 -8.9775e+08
  1.3413e+01  6.5788e+09  1.0574e+09
  1.3413e+01  1.3392e+08  2.1524e+07
  1.3413e+01 -5.6277e+09 -9.0450e+08
  1.3514e+01  6.6774e+09  1.0653e+09
  1.3514e+01  1.3593e+08  2.1685e+07
  1.3514e+01 -5.7120e+09 -9.1125e+08
  1.3614e+01  6.7767e+09  1.0731e+09
  1.3614e+01  1.3795e+08  2.1846e+07
  1.3614e+01 -5.7969e+09 -9.1800e+08
  1.3714e+01  6.8767e+09  1.0810e+09
  1.3714e+01  1.3999e+08  2.2006e+07
  1.3714e+01 -5.8825e+09 -9.2475e+08
  1.3814e+01  6.9774e+09  1.0889e+09
  1.3814e+01  1.4204e+08  2.2167e+07
  1.3814e+01 -5.9687e+09 -9.3150e+08
  1.3914e+01  7.0789e+09  1.0968e+09
  1.3914e+01  1.4410e+08  2.2328e+07
  1.3914e+01 -6.0555e+09 -9.3825e+08
  1.4014e+01  7.1811e+09  1.1047e+09
  1.4014e+01  1.4618e+08  2.2488e+07
  1.4014e+01 -6.1429e+09 -9.4500e+08
  1.4114e+01  7.2841e+09  1.1126e+09
  1.4114e+01  1.4828e+08  2.2649e+07
  1.4114e+01 -6.2310e+09 -9.5175e+08
  1.4214e+01  7.3878e+09  1.1205e+09
  1.4214e+01  1.5039e+08  2.2809e+07
  1.4214e+01 -6.3197e+09 -9.5850e+08
  1.4314e+01  7.4922e+09  1.1284e+09
